c_emo	c_hash	m_mention	url	c_url	tweet_text	c_mention	parsed_text	length	m_emo	user	published_date	c_quote	m_hash	D	#	E	G	!	&	@	A	$	L	M	N	O	","	U	T	V	P	S	R	~	^	Y	X	Z	e/p/i	s/ns/na	sentiment
0	1			1	Blue Jays game like an absolute boss. #BudLightLiving has come to play. youtu.be/W-B-XMUd-Z4	0	Blue Jays game like an absolute boss.  _HASH  has come to play.  _URL 	92		BudLightCA	02:10.0	0	BudLightLiving	14	18	0	0	2	1	6	9	1	5	0	32	10	21	8	1	39	20	0	18	6	14	0	0	0	?	?	positive
0	4			1	#tbt #budlightliving #budlight #kennychesney pic.twitter.com/RFPxr135HK	0	 _HASH   _HASH   _HASH   _HASH   _URL 	71		ajayesirianni	09:23.0	0	"tbt,budlightliving,budlight,kennychesney"	14	22	0	0	2	1	6	9	1	5	0	32	10	21	9	1	39	20	0	18	6	14	0	0	0	?	?	positive
0	1	BudLightCA		1	RT @BudLightCA: Blue Jays game like an absolute boss. #BudLightLiving has come to play. youtu.be/W-B-XMUd-Z4	1	RT  _MENTION : Blue Jays game like an absolute boss.  _HASH  has come to play.  _URL 	108		sjpartycentral	39:16.0	0	BudLightLiving	15	23	0	0	2	1	7	11	1	5	0	35	10	23	10	1	42	22	0	18	8	14	0	0	0	?	?	positive
0	1			1	"Hey there, beautiful. Where have you been all my life? #budlightliving pic.twitter.com/oDizhTdbI4"	0	"Hey there, beautiful. Where have you been all my life?  _HASH   _URL "	97		BeckyScheer	08:59.0	0	budlightliving	16	24	0	0	3	1	7	12	1	5	0	36	11	26	11	1	44	22	0	20	8	14	0	1	0	?	?	positive
0	0			0	The bud light living commercials make me want to go on a GTA III caliber rampage	0	The bud light living commercials make me want to go on a GTA III caliber rampage	80		rshillin	58:48.0	0		18	24	0	0	3	1	7	12	1	5	0	39	12	26	11	1	48	24	0	20	8	18	0	1	0	?	?	negative
0	1	BudLightCA		0	#budlightliving where can we get the promo code for sensation budlight presale??? @BudLightCA	1	 _HASH  where can we get the promo code for sensation budlight presale???  _MENTION 	93		EnnaPl	00:01.0	0	budlightliving	19	25	0	0	3	1	8	12	1	5	0	44	13	27	11	1	50	25	0	21	8	18	0	1	0	?	?	positive
0	1			1	Welcome to pow town. #BudLightLiving style. youtu.be/kkz90fPUMII	0	Welcome to pow town.  _HASH  style.  _URL 	64		BudLightCA	05:16.0	0	BudLightLiving	19	26	0	0	3	1	8	12	1	5	0	46	13	29	12	1	52	26	0	21	8	18	0	1	0	?	?	positive
0	1	BudLightCA		1	RT @BudLightCA: Welcome to pow town. #BudLightLiving style. youtu.be/kkz90fPUMII	1	RT  _MENTION : Welcome to pow town.  _HASH  style.  _URL 	80		ToddAllen89	14:08.0	0	BudLightLiving	19	27	0	0	3	1	9	12	1	5	0	48	13	31	13	1	54	27	0	21	10	18	0	1	0	?	?	positive
0	1	BudLightCA		1	RT @BudLightCA: #BudLightLiving gets unleashed in sin city. youtu.be/MLImiG6db0E	1	RT  _MENTION :  _HASH  gets unleashed in sin city.  _URL 	80		MarcLombo	29:11.0	0	BudLightLiving	19	28	0	0	3	1	10	12	1	5	0	50	13	32	14	1	56	28	0	21	12	18	0	1	0	?	?	positive
0	3	"matt_sawh,Toby_Brock"		0	#budlightliving #goodbyekatie #mattlightliving @matt_sawh @Toby_Brock	2	 _HASH   _HASH   _HASH   _MENTION   _MENTION 	69		ConstanceChan	16:20.0	0	"budlightliving,goodbyekatie,mattlightliving"	19	31	0	0	3	1	12	12	1	5	0	50	13	32	14	1	56	28	0	21	12	18	0	1	0	?	?	positive
0	1			1	"BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST: #BudLightLiving youtu.be/CGsLxhU4O2E"	0	"BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST:  _HASH   _URL "	138		BudLightCA	29:24.0	0	BudLightLiving	19	32	0	0	3	1	12	13	4	5	0	55	13	36	15	1	59	29	0	22	12	21	0	1	1	?	?	positive
0	3	"ConstanceChan,matt_sawh,Toby_Brock"		0	RT @ConstanceChan: #budlightliving #goodbyekatie #mattlightliving @matt_sawh @Toby_Brock	3	RT  _MENTION :  _HASH   _HASH   _HASH   _MENTION   _MENTION 	88		Toby_Brock	30:28.0	0	"budlightliving,goodbyekatie,mattlightliving"	19	35	0	0	3	1	15	13	4	5	0	55	13	36	15	1	59	29	0	22	14	21	0	1	1	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST: #BudLightLiving youtu.be/CGsLxhU4O2E"	1	"RT  _MENTION : BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST:  _HASH   _URL "	154		sjpartycentral	31:49.0	0	BudLightLiving	19	36	0	0	3	1	16	14	7	5	0	60	13	40	16	1	62	30	0	23	16	24	0	1	2	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST: #BudLightLiving youtu.be/CGsLxhU4O2E"	1	"RT  _MENTION : BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST:  _HASH   _URL "	154		jazzyphizz	22:54.0	0	BudLightLiving	19	37	0	0	3	1	17	15	10	5	0	65	13	44	17	1	65	31	0	24	18	27	0	1	3	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST: #BudLightLiving youtu.be/CGsLxhU4O2E"	1	"RT  _MENTION : BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST:  _HASH   _URL "	154		ToddAllen89	32:46.0	0	BudLightLiving	19	38	0	0	3	1	18	16	13	5	0	70	13	48	18	1	68	32	0	25	20	30	0	1	4	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST: #BudLightLiving youtu.be/CGsLxhU4O2E"	1	"RT  _MENTION : BUD LIGHT SENSATION is back! Canada’s wildest party returns Nov 29. Tickets on sale May 21, 10am EST:  _HASH   _URL "	154		meoxmeo	22:23.0	0	BudLightLiving	19	39	0	0	3	1	19	17	16	5	0	75	13	52	19	1	71	33	0	26	22	33	0	1	5	?	?	positive
0	3			0	Yup just burped real loud and asked my boyfriend for a high five. #NiceUps #budlightliving #budlightBurps	0	Yup just burped real loud and asked my boyfriend for a high five.  _HASH   _HASH   _HASH 	105		candip4nts	40:24.0	0	"NiceUps,budlightliving,budlightBurps"	21	42	0	0	4	2	19	19	16	5	0	77	13	53	19	1	73	34	0	28	22	33	0	1	5	?	?	positive
0	1			0	The bud light living commercials are the most annoying 20 seconds i have have to experience in a day #die	0	The bud light living commercials are the most annoying 20 seconds i have have to experience in a day  _HASH 	105		arro95	28:14.0	0	die	24	43	0	0	4	2	19	20	17	5	0	82	14	53	19	1	78	36	0	29	22	33	0	1	5	?	?	negative
0	0			0	"Those \Bud Light Living\"" commercials are stupid af"""	0	Those  _DQ Bud Light Living _DQ  commercials are stupid af	50		_rogerdeleon	26:11.0	2		25	43	0	0	4	2	19	21	17	5	0	83	14	55	19	1	80	36	0	30	22	35	0	1	5	?	?	negative
0	0			0	These bud light living commercials make me jealous of what a fun time they have 	0	These bud light living commercials make me jealous of what a fun time they have 	80		taylerschneider	41:37.0	0		27	43	0	0	4	2	19	23	17	5	0	87	17	55	19	1	83	37	0	30	22	35	0	1	5	?	?	positive
0	3			0	It is so totally wet outside my mid upper gooch region #WeAreOne #summerbreeze #budlightliving	0	It is so totally wet outside my mid upper gooch region  _HASH   _HASH   _HASH 	94		cbwcbwcbw	49:43.0	0	"WeAreOne,summerbreeze,budlightliving"	28	46	0	0	4	2	19	26	17	5	0	89	18	55	19	1	84	38	0	32	22	35	0	1	5	?	?	positive
0	3	cbwcbwcbw		0	RT @cbwcbwcbw: It is so totally wet outside my mid upper gooch region #WeAreOne #summerbreeze #budlightliving	1	RT  _MENTION : It is so totally wet outside my mid upper gooch region  _HASH   _HASH   _HASH 	109		Gearth_Wayne	58:14.0	0	"WeAreOne,summerbreeze,budlightliving"	29	49	0	0	4	2	20	29	17	5	0	91	19	55	19	1	85	39	0	34	24	35	0	1	5	?	?	positive
0	3	"ConstanceChan,matt_sawh,Toby_Brock"		0	RT @ConstanceChan: #budlightliving #goodbyekatie #mattlightliving @matt_sawh @Toby_Brock	3	RT  _MENTION :  _HASH   _HASH   _HASH   _MENTION   _MENTION 	88		wtevs	39:56.0	0	"budlightliving,goodbyekatie,mattlightliving"	29	52	0	0	4	2	23	29	17	5	0	91	19	55	19	1	85	39	0	34	26	35	0	1	5	?	?	positive
0	1			1	"Enter the #BudLightLiving Line. First stop: London, Ontario, Canada. youtu.be/ngNFsvv3FW8"	0	"Enter the  _HASH  Line. First stop: London, Ontario, Canada.  _URL "	89		BudLightCA	09:38.0	0	BudLightLiving	30	52	0	0	4	2	23	30	17	5	0	92	19	60	20	1	86	39	0	34	26	40	0	1	5	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: Enter the #BudLightLiving Line. First stop: London, Ontario, Canada. youtu.be/ngNFsvv3FW8"	1	"RT  _MENTION : Enter the  _HASH  Line. First stop: London, Ontario, Canada.  _URL "	105		ToddAllen89	11:25.0	0	BudLightLiving	31	52	0	0	4	2	24	31	17	5	0	93	19	65	21	1	87	39	0	34	28	45	0	1	5	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: Enter the #BudLightLiving Line. First stop: London, Ontario, Canada. youtu.be/ngNFsvv3FW8"	1	"RT  _MENTION : Enter the  _HASH  Line. First stop: London, Ontario, Canada.  _URL "	105		stefanDaversa	17:35.0	0	BudLightLiving	32	52	0	0	4	2	25	32	17	5	0	94	19	70	22	1	88	39	0	34	30	50	0	1	5	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: Enter the #BudLightLiving Line. First stop: London, Ontario, Canada. youtu.be/ngNFsvv3FW8"	1	"RT  _MENTION : Enter the  _HASH  Line. First stop: London, Ontario, Canada.  _URL "	105		leahouellet	42:45.0	0	BudLightLiving	33	52	0	0	4	2	26	33	17	5	0	95	19	75	23	1	89	39	0	34	32	55	0	1	5	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: Enter the #BudLightLiving Line. First stop: London, Ontario, Canada. youtu.be/ngNFsvv3FW8"	1	"RT  _MENTION : Enter the  _HASH  Line. First stop: London, Ontario, Canada.  _URL "	105		Urfavdutchman	47:44.0	0	BudLightLiving	34	52	0	0	4	2	27	34	17	5	0	96	19	80	24	1	90	39	0	34	34	60	0	1	5	?	?	positive
0	1			1	#budlightliving in vegas... Absolutely insane check it out .... youtube.com/watch?annotati…	0	 _HASH  in vegas... Absolutely insane check it out ....  _URL …	91		MarcLombo	56:13.0	0	budlightliving	34	53	0	0	4	2	27	35	17	5	0	96	20	83	25	2	91	40	0	35	34	61	0	1	5	?	?	positive
0	1	"BudLightCA,_Krevette_"		1	"“@BudLightCA: Enter the #BudLightLiving Line. First stop: London, Ontario, Canada. youtu.be/ngNFsvv3FW8” @_Krevette_"	2	"“ _MENTION : Enter the  _HASH  Line. First stop: London, Ontario, Canada.  _URL ”  _MENTION "	116		JessNiemi	57:01.0	0	BudLightLiving	35	53	0	0	4	2	29	36	17	5	0	97	20	90	26	2	92	40	0	35	35	66	0	1	5	?	?	positive
0	1	MarcLombo		1	RT @MarcLombo: #budlightliving in vegas... Absolutely insane check it out .... youtube.com/watch?annotati…	1	RT  _MENTION :  _HASH  in vegas... Absolutely insane check it out ....  _URL …	106		MBergy96	01:09.0	0	budlightliving	35	54	0	0	4	2	30	37	17	5	0	97	21	93	27	3	93	41	0	36	37	67	0	1	5	?	?	positive
0	1	BudLightCA		1	"RT @BudLightCA: Enter the #BudLightLiving Line. First stop: London, Ontario, Canada. youtu.be/ngNFsvv3FW8"	1	"RT  _MENTION : Enter the  _HASH  Line. First stop: London, Ontario, Canada.  _URL "	105		Bhatman29	36:12.0	0	BudLightLiving	36	54	0	0	4	2	31	38	17	5	0	98	21	98	28	3	94	41	0	36	39	72	0	1	5	?	?	positive
0	1	MarcLombo		1	RT @MarcLombo: #budlightliving in vegas... Absolutely insane check it out .... youtube.com/watch?annotati…	1	RT  _MENTION :  _HASH  in vegas... Absolutely insane check it out ....  _URL …	106		albergy92	04:00.0	0	budlightliving	36	55	0	0	4	2	32	39	17	5	0	98	22	101	29	4	95	42	0	37	41	73	0	1	5	?	?	positive
0	2	budlight		1	Few buds for the weekend #UpForWhatever #budlightliving @budlight pic.twitter.com/AahDFGHetA	1	Few buds for the weekend  _HASH   _HASH   _MENTION   _URL 	92		Smitty91_	33:36.0	0	"UpForWhatever,budlightliving"	37	57	0	0	4	2	33	40	17	5	0	100	22	101	30	4	95	43	0	37	41	73	0	1	5	?	?	positive
0	2	ryan_maccarthy		0	@ryan_maccarthy no at King St #FireballFriday #budlightliving	1	 _MENTION  no at King St  _HASH   _HASH 	61		Grant_Bolin	51:31.0	0	"FireballFriday,budlightliving"	37	58	0	0	5	2	34	40	17	5	0	100	22	101	30	4	95	44	0	37	41	76	0	1	5	?	?	positive
0	1			0	Three hour nap ... Time to rally for round 2 #budlightliving	0	Three hour nap ... Time to rally for round 2  _HASH 	60		lamandalynch	07:23.0	0	budlightliving	37	59	0	0	5	2	34	40	18	5	0	105	22	102	30	4	95	47	0	37	41	76	0	1	5	?	?	positive
0	0	Vallisofneptune		0	RT @Vallisofneptune: Those bud light living commercials are fucking horrible	1	RT  _MENTION : Those bud light living commercials are fucking horrible	76		DavedaDragon	03:23.0	0		38	59	0	0	5	2	35	41	18	5	0	108	22	102	30	4	97	47	0	38	43	76	0	1	5	?	?	negative
0	3	budlight		1	#budlightliving #poolsidebudlight #Poolside @budlight pic.twitter.com/uamr1NYAWD	1	 _HASH   _HASH   _HASH   _MENTION   _URL 	80		ExplicitSplicer	29:14.0	0	"budlightliving,poolsidebudlight,Poolside"	38	62	0	0	5	2	36	41	18	5	0	108	22	102	31	4	97	47	0	38	43	76	0	1	5	?	?	positive
0	1			0	Going shower and get ready for round 2 #budlightliving	0	Going shower and get ready for round 2  _HASH 	54		lpdelatte97	14:11.0	0	budlightliving	38	63	0	0	5	3	36	42	19	5	0	110	22	102	31	4	99	48	0	38	43	76	0	1	5	?	?	positive
0	1			0	Um how do I win #budlightliving ??? 	0	Um how do I win  _HASH  ??? 	36		TheZubalicious	27:27.0	0	budlightliving	38	64	0	0	6	3	36	42	19	5	0	110	23	103	31	4	101	48	0	39	43	76	0	1	5	?	?	positive
0	0			0	So it turns out that the Steve Aoki house party I missed was part of a Bud Light commercial... Fking London lol	0	So it turns out that the Steve Aoki house party I missed was part of a Bud Light commercial... Fking London lol	111		felixwuuu	54:02.0	0		40	64	0	0	7	3	36	42	19	5	0	114	25	104	31	5	105	51	0	39	43	81	0	1	5	?	?	positive
0	4			1	CRAAAAAWFISH BOIL! $2 Budweiser and beautiful weather. #awesomeday #crawfish #budlightliving #Preakness2014 pic.twitter.com/kCIlhBYcLl	0	CRAAAAAWFISH BOIL! $2 Budweiser and beautiful weather.  _HASH   _HASH   _HASH   _HASH   _URL 	134		Crawdads_Bar	04:15.0	0	"awesomeday,crawfish,budlightliving,Preakness2014"	40	68	0	0	7	4	36	43	20	5	0	117	25	106	32	5	105	51	0	39	43	82	0	1	5	?	?	positive
0	0			0	the bud light living house party commercial that was shot in London look sooo sick	0	the bud light living house party commercial that was shot in London look sooo sick	82		amandaklee	08:34.0	0		41	68	0	0	7	4	36	44	20	5	0	123	25	106	32	5	108	53	0	40	43	83	0	1	5	?	?	positive
0	1			0	#budlightliving though - someone come through w/ me for Nov 29	0	 _HASH  though - someone come through w/ me for Nov 29	62		imaCAMILLEON	12:06.0	0	budlightliving	41	69	0	0	7	4	36	44	21	5	0	124	26	107	32	5	109	57	0	40	43	84	0	1	5	?	?	positive
0	1			0	How cool would it be to answer the phone? #budlightliving	0	How cool would it be to answer the phone?  _HASH 	57		JesseRyckman	49:53.0	0	budlightliving	42	70	0	0	7	4	36	45	21	5	0	125	27	108	32	5	112	58	0	41	43	84	0	1	5	?	?	positive
0	1			0	"Wow, that actually sounds like a wicked contest to win #budlightliving"	0	"Wow, that actually sounds like a wicked contest to win  _HASH "	70		MattyEcksFactor	59:17.0	0	budlightliving	43	71	0	0	8	4	36	46	21	5	0	126	28	109	32	5	114	60	0	42	43	84	0	1	5	?	?	positive
0	1	YouTube		1	I liked a @YouTube video youtu.be/DBXeMh9u-JI?a The #BudLightLiving Line: Aoki House Party	1	I liked a  _MENTION  video  _URL  The  _HASH  Line: Aoki House Party	90		SoaRCFGR	08:55.0	0	BudLightLiving	45	71	0	0	8	4	37	46	21	5	0	127	29	110	33	5	115	60	0	42	43	89	0	1	5	?	?	positive
0	1			0	If this whole #budlightliving thing happened to me I'm pretty sure I would die. On the spot.	0	If this whole  _HASH  thing happened to me I _DQ m pretty sure I would die. On the spot.	92		kaayrohleenah	53:28.0	1	budlightliving	47	72	0	0	8	4	37	48	21	6	0	129	31	112	33	5	118	63	0	43	43	89	0	1	5	?	?	positive
0	1			1	The waters cold but the beer is colder! #budlightliving pic.twitter.com/KTWB6fdePF	0	The waters cold but the beer is colder!  _HASH   _URL 	82		RichardBonifay	08:39.0	0	budlightliving	49	73	0	0	8	5	37	50	21	6	0	131	31	113	34	5	119	63	0	43	43	89	0	1	5	?	?	positive
0	2			1	Coolest campaign I've seen in a while! #signmeup The #BudLightLiving Line: youtu.be/ngNFsvv3FW8	0	Coolest campaign I _DQ ve seen in a while!  _HASH  The  _HASH  Line:  _URL 	95		lhans88	26:25.0	1	"signmeup,BudLightLiving"	51	74	0	0	8	5	37	51	21	7	0	133	31	115	35	5	120	64	0	43	43	91	0	1	5	?	?	positive
0	0			0	Bud Light putting Steve Aoki in their commercial actually made me want a bud light. Well done	0	Bud Light putting Steve Aoki in their commercial actually made me want a bud light. Well done	93		damara_apple	43:07.0	0		53	74	0	0	8	5	37	51	21	7	0	136	32	116	35	5	124	65	0	45	43	95	0	1	5	?	?	positive
0	1			0	Love how #BudLightLiving commercial features a woman being hit in the face with something. Way to glamorize violence against women. Pathetic	0	Love how  _HASH  commercial features a woman being hit in the face with something. Way to glamorize violence against women. Pathetic	140		PlantsAreSexy	47:34.0	0	BudLightLiving	55	75	0	0	8	5	37	52	21	7	0	143	32	118	35	5	129	69	0	46	43	95	0	1	5	?	?	negative
0	2	lhans88		1	RT @lhans88: Coolest campaign I've seen in a while! #signmeup The #BudLightLiving Line: youtu.be/ngNFsvv3FW8	1	RT  _MENTION : Coolest campaign I _DQ ve seen in a while!  _HASH  The  _HASH  Line:  _URL 	108		niftynoah	15:50.0	1	"signmeup,BudLightLiving"	57	76	0	0	8	5	38	53	21	8	0	145	32	120	36	5	130	70	0	46	45	97	0	1	5	?	?	positive
0	5	"budlight,steveaoki"		0	Where's the phone at!!!?? Imma get me a phone call?? #budlightliving @budlight #LdnOnt #mytown #letsparty @steveaoki #love	2	Where _DQ s the phone at!!!?? Imma get me a phone call??  _HASH   _MENTION   _HASH   _HASH   _HASH   _MENTION   _HASH 	122		erintaaylor	20:01.0	1	"budlightliving,LdnOnt,mytown,letsparty,love"	59	81	0	0	8	5	40	53	21	10	0	147	33	122	36	5	132	71	0	46	45	97	0	1	5	?	?	positive
0	2			1	My friend for the night #budlightliving # bud then going to kick it #country pic.twitter.com/jAD75LyiRc	0	My friend for the night  _HASH  # bud then going to kick it  _HASH   _URL 	103		dameonrose	45:34.0	0	"budlightliving,country"	61	84	0	0	8	5	40	53	21	10	0	150	34	122	37	5	134	73	0	47	45	97	0	1	5	?	?	positive
0	1			0	Beeeeeers #BudLightLiving	0	Beeeeeers  _HASH 	25		meaghansyrette	14:06.0	0	BudLightLiving	61	85	0	0	8	5	40	53	21	10	0	151	34	122	37	5	134	73	0	47	45	97	0	1	5	?	?	positive
0	1			0	I want the #budlightlivingline in my life	0	I want the  _HASH  in my life	41		GrowingupGurney	42:28.0	0	budlightlivingline	63	85	0	0	8	5	40	53	21	10	0	153	35	122	37	5	135	74	0	47	45	97	0	1	5	?	?	positive
0	0			0	Every time I try to watch a YouTube video the bud light commercial of Steve Aoki at that house party in London comes up	0	Every time I try to watch a YouTube video the bud light commercial of Steve Aoki at that house party in London comes up	119		kamkam58	05:30.0	0		67	85	0	0	8	5	40	53	21	10	0	160	36	122	37	6	138	78	0	47	45	101	0	1	5	?	?	neutral
0	0	kamkam58		0	RT @kamkam58: Every time I try to watch a YouTube video the bud light commercial of Steve Aoki at that house party in London comes up	1	RT  _MENTION : Every time I try to watch a YouTube video the bud light commercial of Steve Aoki at that house party in London comes up	133		AzizMoh5	05:45.0	0		71	85	0	0	8	5	41	53	21	10	0	167	37	122	37	7	141	82	0	47	47	105	0	1	5	?	?	neutral
0	2	steveaoki		0	The #budlightliving fucking we want you @steveaoki #Canada	1	The  _HASH  fucking we want you  _MENTION   _HASH 	58		TatianaB09	06:50.0	0	"budlightliving,Canada"	72	86	0	0	8	5	42	53	21	10	0	168	39	122	37	7	143	82	0	47	47	105	0	1	5	?	?	positive
0	1	budlight		0	#budlightliving come to fort st john british columbia ! @budlight weoooo time to crack a cold one soon	1	 _HASH  come to fort st john british columbia !  _MENTION  weoooo time to crack a cold one soon	102		kaylynntracey	06:24.0	0	budlightliving	73	87	0	1	8	5	43	54	22	10	0	170	39	123	37	7	146	84	0	48	47	108	0	1	5	?	?	positive
0	2	lhans88		1	RT @lhans88: Coolest campaign I've seen in a while! #signmeup The #BudLightLiving Line: youtu.be/ngNFsvv3FW8	1	RT  _MENTION : Coolest campaign I _DQ ve seen in a while!  _HASH  The  _HASH  Line:  _URL 	108		kaylynntracey	06:56.0	1	"signmeup,BudLightLiving"	75	88	0	1	8	5	44	55	22	11	0	172	39	125	38	7	147	85	0	48	49	110	0	1	5	?	?	positive
